Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.81939657,Camera,Unigram_Bigram,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.805,Camera,Unigram_Bigram,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.845,Camera,Unigram_Bigram,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.823421429,Camera,Unigram_Bigram,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.800400958,Camera,Unigram_Bigram,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.793,Camera,Unigram_Bigram,2k
BG,meanRecall,cv_BG_train.meanRecall,0.81,Camera,Unigram_Bigram,2k
BG,meanFscore,cv_BG_train.meanFscore,0.800224438,Camera,Unigram_Bigram,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.736219182,Camera,Unigram_Bigram,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.703,Camera,Unigram_Bigram,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.815,Camera,Unigram_Bigram,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.753412985,Camera,Unigram_Bigram,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.866059914,Camera,Unigram_Bigram,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.875,Camera,Unigram_Bigram,2k
RF,meanRecall,cv_RF_train.meanRecall,0.859,Camera,Unigram_Bigram,2k
RF,meanFscore,cv_RF_train.meanFscore,0.865469015,Camera,Unigram_Bigram,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499171789,Camera,Unigram_Bigram,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,Camera,Unigram_Bigram,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Unigram_Bigram,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.665131336,Camera,Unigram_Bigram,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.853660912,Camera,Unigram_Bigram,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.877,Camera,Unigram_Bigram,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.822,Camera,Unigram_Bigram,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.847648414,Camera,Unigram_Bigram,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.900437348,Camera,Unigram_Bigram,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.901,Camera,Unigram_Bigram,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.834,Camera,Unigram_Bigram,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.865527647,Camera,Unigram_Bigram,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.804474598,Camera,Unigram_Bigram_Trigram,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.873,Camera,Unigram_Bigram_Trigram,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.713,Camera,Unigram_Bigram_Trigram,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.783543713,Camera,Unigram_Bigram_Trigram,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.946494907,Camera,Unigram_Bigram_Trigram,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.95,Camera,Unigram_Bigram_Trigram,2k
MX,meanRecall,cv_MX_train.meanRecall,0.944,Camera,Unigram_Bigram_Trigram,2k
MX,meanFscore,cv_MX_train.meanFscore,0.946789281,Camera,Unigram_Bigram_Trigram,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.814733667,Camera,Unigram_Bigram_Trigram,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.802,Camera,Unigram_Bigram_Trigram,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.834,Camera,Unigram_Bigram_Trigram,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.81693123,Camera,Unigram_Bigram_Trigram,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.806379058,Camera,Unigram_Bigram_Trigram,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.8,Camera,Unigram_Bigram_Trigram,2k
BG,meanRecall,cv_BG_train.meanRecall,0.821,Camera,Unigram_Bigram_Trigram,2k
BG,meanFscore,cv_BG_train.meanFscore,0.80985972,Camera,Unigram_Bigram_Trigram,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.735673277,Camera,Unigram_Bigram_Trigram,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.711,Camera,Unigram_Bigram_Trigram,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.8,Camera,Unigram_Bigram_Trigram,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.752315585,Camera,Unigram_Bigram_Trigram,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.857589256,Camera,Unigram_Bigram_Trigram,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.866,Camera,Unigram_Bigram_Trigram,2k
RF,meanRecall,cv_RF_train.meanRecall,0.847,Camera,Unigram_Bigram_Trigram,2k
RF,meanFscore,cv_RF_train.meanFscore,0.856036146,Camera,Unigram_Bigram_Trigram,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500714911,Camera,Unigram_Bigram_Trigram,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.501,Camera,Unigram_Bigram_Trigram,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Unigram_Bigram_Trigram,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.667171805,Camera,Unigram_Bigram_Trigram,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.852416786,Camera,Unigram_Bigram_Trigram,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.881,Camera,Unigram_Bigram_Trigram,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.816,Camera,Unigram_Bigram_Trigram,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.846741231,Camera,Unigram_Bigram_Trigram,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.901152704,Camera,Unigram_Bigram_Trigram,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.903,Camera,Unigram_Bigram_Trigram,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.838,Camera,Unigram_Bigram_Trigram,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.868784062,Camera,Unigram_Bigram_Trigram,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.809593965,Camera,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.867,Camera,Unigram_Bigram_Trigram_Composite,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.733,Camera,Unigram_Bigram_Trigram_Composite,2k
